rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
120,435.0,0.55,0.47126436781609193,0.41379310344827586,0.47126436781609193,0.41379310344827586,0.0,239.25000000000003,205.0,180.0,205.0,180.0,0.0,5,7.603386076614015,5.836492238637014,5.702777986521433,1673.8923457589267,True,0bc633ab
121,435.0,0.44329501915708813,0.47126436781609193,0.41379310344827586,0.47126436781609193,0.41379310344827586,0.0,192.83333333333334,205.0,180.0,205.0,180.0,0.0,5,7.447863776432314,5.923899057545641,5.923899057545641,1600.3122809246347,True,fbd23611
122,435.0,0.44329501915708813,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.0,192.83333333333334,180.0,180.0,180.0,180.0,0.0,5,7.425137146257384,5.778478617799561,5.6820296949131865,1585.2654901314693,True,16355145
123,435.0,0.22988505747126436,0.41379310344827586,0.6045977011494252,0.41379310344827586,0.6045977011494252,0.0,100.0,180.0,263.0,180.0,263.0,0.0,6,7.351566088184654,5.676928944453114,5.638585429462697,1405.080108285888,True,7a8aff1c
124,435.0,0.44329501915708813,0.5287356321839081,0.41379310344827586,0.5287356321839081,0.41379310344827586,0.0,192.83333333333334,230.0,180.0,230.0,180.0,0.0,5,7.28029200230003,5.535269486046051,5.535269486046051,1615.633519096016,True,0cc4409e
125,435.0,0.55,0.41379310344827586,0.5091954022988505,0.41379310344827586,0.5091954022988505,0.0,239.25000000000003,180.0,221.49999999999997,180.0,221.49999999999997,0.0,6,7.220026398605569,5.232394452284551,5.223159058584076,1590.7380734422563,True,b5c1ebce
126,490.0,0.3193877551020408,0.5224489795918368,0.5891156462585034,0.5224489795918368,0.5891156462585034,0.0,156.5,256.0,288.6666666666667,256.0,288.6666666666667,0.0,6,7.061656109911155,6.31048663508281,6.287271362129385,1694.5396362964962,True,4f1a2e0b
127,435.0,0.22988505747126436,0.47126436781609193,0.41379310344827586,0.47126436781609193,0.41379310344827586,0.0,100.0,205.0,180.0,205.0,180.0,0.0,4,7.05704951101734,6.358507000490227,6.3350228173001355,1613.0217235341443,True,77f323e0
128,435.0,0.55,0.5287356321839081,0.41379310344827586,0.5287356321839081,0.41379310344827586,0.0,239.25000000000003,230.0,180.0,230.0,180.0,0.0,7,7.008567260021437,5.863421298071289,5.85294023708765,1567.7635267307232,True,3e51fbcf
129,490.0,0.4346938775510204,0.3673469387755102,0.7,0.3673469387755102,0.7,0.0,213.0,180.0,343.0,180.0,343.0,0.0,7,6.940516367880036,6.006035037251767,5.902074155675886,1603.0516168814588,True,5d4fd414
